loss,accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1.375901227773622,0.3916913946587537,1743864102,,False,1,233a2_00012,2025-04-05_16-41-42,5.906990051269531,5.906990051269531,35673,MacBook-Pro-8,127.0.0.1,5.906990051269531,1
1.364624588988548,0.3916913946587537,1743864107,,False,2,233a2_00012,2025-04-05_16-41-47,4.1932127475738525,10.100202798843384,35673,MacBook-Pro-8,127.0.0.1,10.100202798843384,2
1.3480484568795492,0.3916913946587537,1743864111,,False,3,233a2_00012,2025-04-05_16-41-51,4.245490074157715,14.345692873001099,35673,MacBook-Pro-8,127.0.0.1,14.345692873001099,3
1.3235732289247735,0.39465875370919884,1743864115,,False,4,233a2_00012,2025-04-05_16-41-55,4.217792749404907,18.563485622406006,35673,MacBook-Pro-8,127.0.0.1,18.563485622406006,4
1.2687653524931086,0.42433234421364985,1743864119,,False,5,233a2_00012,2025-04-05_16-41-59,4.229114055633545,22.79259967803955,35673,MacBook-Pro-8,127.0.0.1,22.79259967803955,5
1.2371294914289963,0.4362017804154303,1743864123,,False,6,233a2_00012,2025-04-05_16-42-03,4.231753826141357,27.024353504180908,35673,MacBook-Pro-8,127.0.0.1,27.024353504180908,6
1.2215186246605807,0.3768545994065282,1743864128,,False,7,233a2_00012,2025-04-05_16-42-08,4.243382930755615,31.267736434936523,35673,MacBook-Pro-8,127.0.0.1,31.267736434936523,7
1.2161819976429606,0.44510385756676557,1743864132,,False,8,233a2_00012,2025-04-05_16-42-12,4.2287561893463135,35.49649262428284,35673,MacBook-Pro-8,127.0.0.1,35.49649262428284,8
1.2087661388308504,0.4094955489614243,1743864136,,False,9,233a2_00012,2025-04-05_16-42-16,4.224042892456055,39.72053551673889,35673,MacBook-Pro-8,127.0.0.1,39.72053551673889,9
1.2046906255012335,0.4124629080118694,1743864140,,False,10,233a2_00012,2025-04-05_16-42-20,4.242459058761597,43.96299457550049,35673,MacBook-Pro-8,127.0.0.1,43.96299457550049,10
1.184404895749203,0.44807121661721067,1743864145,,False,11,233a2_00012,2025-04-05_16-42-25,4.237053871154785,48.20004844665527,35673,MacBook-Pro-8,127.0.0.1,48.20004844665527,11
1.17287462395291,0.47181008902077154,1743864149,,False,12,233a2_00012,2025-04-05_16-42-29,4.23305082321167,52.43309926986694,35673,MacBook-Pro-8,127.0.0.1,52.43309926986694,12
1.152922207532927,0.5014836795252225,1743864153,,False,13,233a2_00012,2025-04-05_16-42-33,4.213181972503662,56.646281242370605,35673,MacBook-Pro-8,127.0.0.1,56.646281242370605,13
1.133888654930647,0.516320474777448,1743864157,,False,14,233a2_00012,2025-04-05_16-42-37,4.264949083328247,60.91123032569885,35673,MacBook-Pro-8,127.0.0.1,60.91123032569885,14
1.1218377407207045,0.5519287833827893,1743864162,,False,15,233a2_00012,2025-04-05_16-42-42,4.238034963607788,65.14926528930664,35673,MacBook-Pro-8,127.0.0.1,65.14926528930664,15
1.0975321420403414,0.5845697329376854,1743864166,,False,16,233a2_00012,2025-04-05_16-42-46,4.222632884979248,69.37189817428589,35673,MacBook-Pro-8,127.0.0.1,69.37189817428589,16
1.085512057293293,0.5934718100890207,1743864170,,False,17,233a2_00012,2025-04-05_16-42-50,4.228431940078735,73.60033011436462,35673,MacBook-Pro-8,127.0.0.1,73.60033011436462,17
1.0645325821499492,0.5964391691394659,1743864174,,False,18,233a2_00012,2025-04-05_16-42-54,4.240060091018677,77.8403902053833,35673,MacBook-Pro-8,127.0.0.1,77.8403902053833,18
1.0526838621427848,0.5934718100890207,1743864179,,False,19,233a2_00012,2025-04-05_16-42-59,4.234084129333496,82.0744743347168,35673,MacBook-Pro-8,127.0.0.1,82.0744743347168,19
1.0480345903440964,0.6023738872403561,1743864183,,False,20,233a2_00012,2025-04-05_16-43-03,4.231535196304321,86.30600953102112,35673,MacBook-Pro-8,127.0.0.1,86.30600953102112,20
1.040433867033138,0.5964391691394659,1743864187,,False,21,233a2_00012,2025-04-05_16-43-07,4.24184513092041,90.54785466194153,35673,MacBook-Pro-8,127.0.0.1,90.54785466194153,21
1.025486831055131,0.6053412462908012,1743864191,,False,22,233a2_00012,2025-04-05_16-43-11,4.237864971160889,94.78571963310242,35673,MacBook-Pro-8,127.0.0.1,94.78571963310242,22
1.0184672266937966,0.6112759643916914,1743864195,,False,23,233a2_00012,2025-04-05_16-43-15,4.213546991348267,98.99926662445068,35673,MacBook-Pro-8,127.0.0.1,98.99926662445068,23
1.0068885309751643,0.6142433234421365,1743864200,,False,24,233a2_00012,2025-04-05_16-43-20,4.224806070327759,103.22407269477844,35673,MacBook-Pro-8,127.0.0.1,103.22407269477844,24
1.001137522763984,0.6023738872403561,1743864204,,False,25,233a2_00012,2025-04-05_16-43-24,4.260453224182129,107.48452591896057,35673,MacBook-Pro-8,127.0.0.1,107.48452591896057,25
0.9944173859995465,0.6112759643916914,1743864208,,False,26,233a2_00012,2025-04-05_16-43-28,4.236597061157227,111.7211229801178,35673,MacBook-Pro-8,127.0.0.1,111.7211229801178,26
0.9915583320828372,0.6172106824925816,1743864212,,False,27,233a2_00012,2025-04-05_16-43-32,4.232602119445801,115.9537250995636,35673,MacBook-Pro-8,127.0.0.1,115.9537250995636,27
0.9887572069500767,0.6261127596439169,1743864217,,False,28,233a2_00012,2025-04-05_16-43-37,4.248991966247559,120.20271706581116,35673,MacBook-Pro-8,127.0.0.1,120.20271706581116,28
