loss,accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1.314009276303378,0.3649851632047478,1743865153,,False,1,85af8_00001,2025-04-05_16-59-13,3.5887439250946045,3.5887439250946045,36610,MacBook-Pro-8,127.0.0.1,3.5887439250946045,1
1.2209856835278599,0.4124629080118694,1743865155,,False,2,85af8_00001,2025-04-05_16-59-15,1.865624189376831,5.4543681144714355,36610,MacBook-Pro-8,127.0.0.1,5.4543681144714355,2
1.1600850441239097,0.4658753709198813,1743865157,,False,3,85af8_00001,2025-04-05_16-59-17,1.8262038230895996,7.280571937561035,36610,MacBook-Pro-8,127.0.0.1,7.280571937561035,3
1.074379801750183,0.5727002967359051,1743865158,,False,4,85af8_00001,2025-04-05_16-59-18,1.849938154220581,9.130510091781616,36610,MacBook-Pro-8,127.0.0.1,9.130510091781616,4
1.01918625831604,0.5964391691394659,1743865160,,False,5,85af8_00001,2025-04-05_16-59-20,1.8345818519592285,10.965091943740845,36610,MacBook-Pro-8,127.0.0.1,10.965091943740845,5
0.9663630290464922,0.5934718100890207,1743865162,,False,6,85af8_00001,2025-04-05_16-59-22,1.9321908950805664,12.897282838821411,36610,MacBook-Pro-8,127.0.0.1,12.897282838821411,6
0.9257542924447493,0.6379821958456974,1743865164,,False,7,85af8_00001,2025-04-05_16-59-24,1.980715036392212,14.877997875213623,36610,MacBook-Pro-8,127.0.0.1,14.877997875213623,7
0.8866215564987876,0.6409495548961425,1743865166,,False,8,85af8_00001,2025-04-05_16-59-26,2.003812789916992,16.881810665130615,36610,MacBook-Pro-8,127.0.0.1,16.881810665130615,8
0.8341525359587236,0.6676557863501483,1743865168,,False,9,85af8_00001,2025-04-05_16-59-28,1.8929128646850586,18.774723529815674,36610,MacBook-Pro-8,127.0.0.1,18.774723529815674,9
0.8364981412887573,0.6676557863501483,1743865170,,False,10,85af8_00001,2025-04-05_16-59-30,1.8395860195159912,20.614309549331665,36610,MacBook-Pro-8,127.0.0.1,20.614309549331665,10
0.8000094240361993,0.7032640949554896,1743865172,,False,11,85af8_00001,2025-04-05_16-59-32,1.839285135269165,22.45359468460083,36610,MacBook-Pro-8,127.0.0.1,22.45359468460083,11
0.7568492022427645,0.7418397626112759,1743865174,,False,12,85af8_00001,2025-04-05_16-59-34,1.8327059745788574,24.286300659179688,36610,MacBook-Pro-8,127.0.0.1,24.286300659179688,12
0.7379673692313108,0.7388724035608308,1743865175,,False,13,85af8_00001,2025-04-05_16-59-35,1.8463528156280518,26.13265347480774,36610,MacBook-Pro-8,127.0.0.1,26.13265347480774,13
0.7345911345698617,0.7477744807121661,1743865177,,False,14,85af8_00001,2025-04-05_16-59-37,1.8954358100891113,28.02808928489685,36610,MacBook-Pro-8,127.0.0.1,28.02808928489685,14
0.7014714642004534,0.7507418397626113,1743865179,,False,15,85af8_00001,2025-04-05_16-59-39,1.894479751586914,29.922569036483765,36610,MacBook-Pro-8,127.0.0.1,29.922569036483765,15
0.7174269719557329,0.7418397626112759,1743865181,,False,16,85af8_00001,2025-04-05_16-59-41,1.8445990085601807,31.767168045043945,36610,MacBook-Pro-8,127.0.0.1,31.767168045043945,16
0.691517090255564,0.7655786350148368,1743865183,,False,17,85af8_00001,2025-04-05_16-59-43,1.8630831241607666,33.63025116920471,36610,MacBook-Pro-8,127.0.0.1,33.63025116920471,17
0.713292736898769,0.7626112759643917,1743865185,,False,18,85af8_00001,2025-04-05_16-59-45,1.888808012008667,35.51905918121338,36610,MacBook-Pro-8,127.0.0.1,35.51905918121338,18
0.7207492698322643,0.7329376854599406,1743865187,,False,19,85af8_00001,2025-04-05_16-59-47,1.905923843383789,37.42498302459717,36610,MacBook-Pro-8,127.0.0.1,37.42498302459717,19
0.6950872513380918,0.7359050445103857,1743865189,,False,20,85af8_00001,2025-04-05_16-59-49,1.8153760433197021,39.24035906791687,36610,MacBook-Pro-8,127.0.0.1,39.24035906791687,20
0.6674162393266504,0.7626112759643917,1743865190,,False,21,85af8_00001,2025-04-05_16-59-50,1.9138059616088867,41.15416502952576,36610,MacBook-Pro-8,127.0.0.1,41.15416502952576,21
0.6603118723089044,0.7566765578635015,1743865192,,False,22,85af8_00001,2025-04-05_16-59-52,1.8779771327972412,43.032142162323,36610,MacBook-Pro-8,127.0.0.1,43.032142162323,22
0.6659900627352975,0.7537091988130564,1743865194,,False,23,85af8_00001,2025-04-05_16-59-54,1.9398441314697266,44.971986293792725,36610,MacBook-Pro-8,127.0.0.1,44.971986293792725,23
0.6796654977581718,0.7596439169139466,1743865196,,False,24,85af8_00001,2025-04-05_16-59-56,1.9287519454956055,46.90073823928833,36610,MacBook-Pro-8,127.0.0.1,46.90073823928833,24
0.690213295546445,0.7626112759643917,1743865198,,False,25,85af8_00001,2025-04-05_16-59-58,2.0133912563323975,48.91412949562073,36610,MacBook-Pro-8,127.0.0.1,48.91412949562073,25
0.7084588462656195,0.7507418397626113,1743865200,,False,26,85af8_00001,2025-04-05_17-00-00,1.967804193496704,50.88193368911743,36610,MacBook-Pro-8,127.0.0.1,50.88193368911743,26
0.7114528851075606,0.7507418397626113,1743865202,,False,27,85af8_00001,2025-04-05_17-00-02,1.9502708911895752,52.83220458030701,36610,MacBook-Pro-8,127.0.0.1,52.83220458030701,27
0.6486467556519941,0.7507418397626113,1743865204,,False,28,85af8_00001,2025-04-05_17-00-04,1.867457628250122,54.69966220855713,36610,MacBook-Pro-8,127.0.0.1,54.69966220855713,28
